ID_Vereador;ID;Texto;Data;App
6;193;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
117;194;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
114;195;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
15;196;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
4;197;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
11;198;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
26;199;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
113;200;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
25;201;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
112;202;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
10;203;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
122;204;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
9;205;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
27;206;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
116;207;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
37;208;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
32;209;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
128;210;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
39;211;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
49;212;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
46;213;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
115;214;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
43;215;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
127;216;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
42;217;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
19;218;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
23;219;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
48;220;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
51;221;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
34;222;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
40;223;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
21;224;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
119;225;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
133;226;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
5;227;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
1;228;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
45;229;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
20;230;Votou a favor para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
