ID_Vereador;Texto;DataEncerramento;Tipo_Ação
115;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
43;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
127;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
42;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
19;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
23;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
48;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
119;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
46;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
53;Criou o projeto de ementa que: ''DISPOE SOBRE A CONCESSAO DE HOMENAGEM EM FORMA DE HONRARIA SALVA DE PRATA EM COMEMORACAO AOS 20 ANOS DE FUNDACAO DA FORCA SINDICAL, E DA OUTRAS PROVIDENCIAS. ***   ESTE PDL NAO FOI LIDO, EM VIRTUDE DE SUA RETIRADA PELO RDS 289/2011   ***'' que foi encerrado, pois foi retirado pelo autor.;30/03/2011;Projeto
16;Criou o projeto de ementa que: ''DISPOE SOBRE A CONCESSAO DE TITULO DE CIDADAO PAULISTANO AO SENHOR FABIO PORTA. *** SESSAO SOLENE DE ENTREGA REALIZADA EM 09/09/2011 AS 19H NO SALAO NOBRE ***'' que foi encerrado, pois foi promulgado.;05/05/2011;Projeto
50;Criou o projeto de ementa que: ''DENOMINA RUA CIDADE DE FUKUSHIMA O LOGRADOURO INOMINADO LOCALIZADO NO JARDIM DAS CAMELIAS - ZONA LESTE, SITUADO ENTRE A AVENIDA JACU PESSEGO E O CORREGO DO LIMOEIRO, DA CIDADE DE SAO PAULO, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi retirado pelo autor.;10/05/2011;Projeto
21;Criou o projeto de ementa que: ''DISPOE SOBRE A CRIACAO DO MUSEU DE CERA MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi retirado pelo autor.;16/05/2011;Projeto
22;Criou o projeto de ementa que: ''CONCEDE A MEDALHA ANCHIETA E O DIPLOMA DE GRATIDAO DA CIDADE DE SAO PAULO AO SR. SILVIO GARCIA. *** HONRARIA RETIRADA PELO VEREADOR EM 23/11/11 PARA SER ENTREGUE FORA DA CASA ***'' que foi encerrado, pois foi promulgado.;15/06/2011;Projeto
115;Criou o projeto de ementa que: ''DISPOE SOBRE A CONCESSAO DE TITULO DE CIDADAO PAULISTANO AO SENHOR ALI BARAKAT ABBAS.'' que foi encerrado, pois foi promulgado.;15/06/2011;Projeto
